answer_id,question_id,anon_id,user_file_id,text,directory,is_doublespaced,is_plagiarized,is_deleted
1,5,eq0,7505,"I met my friend Nife while I was studying in a middle school. I was happy when I met him because he was a good student in our school. We continued the middle and high school to gather in the same school. We were studying in the different classes in the middle school; however, in the high school we were studying in the same class. We went to many places in the free time while we were studying in the high school. When we finished from the high school, I went to K.S University and he went to I.M University. While we were enjoying in academic life, we made many achievement in these universities. I graduated when Nife was studying in the last semester in the university. After that, I got a job. Fortunately, it was nearby my home. I worked two years then I got scholarship from ministry of high education in my country. When I came here to U.S, my friend Nife arrange some documents to study at grad school in Malaysia.",,0,0,0
2,5,am8,7506,"Ten years ago, I met a women on the train between the way was going to school,she was sitting next me.That day for school opened; She had a long back hair,a tan skin and a big brow eyes. I thought, she was so beautiful, and one thing as important she wear uniform similar me. When she took off the train,she said good bye with me. I feel better for first day of school. I was sitting until the last train stop it was near my school.I was finding the class when I met the women agin in that room. I saw the number of the room that was same me. While I was introducing my self to the women,, the teacher came in. Since we were the best friends until finished university.",,0,0,0
3,12,dk5,7507,"In my country we usually don't use tea bags. First we boil the water,then we put some of the hot water at the top.We add the tea at the top. We wait like 20 minutes with low heat for it to be ready.At last, we first poor the water with tea,then we add some pure hot water in it.",,0,0,0
4,13,dk5,7507,I organized the instructions by time.,,0,0,0
5,12,ad1,7508,"First, prepare a port, loose tea, and cup.Second, boil water in the port.Third, put loose tea in the cup.Fourth, pour water into the cup.Finally, after waiting for a few minutes, drink the tea. Loose tea won't float on the surface of the tea, so you don't have to pick the loose tea up.",,0,0,0
6,13,ad1,7508,By time,,0,0,0
7,12,eg5,7509,"First, prepare your cup, loose tea or bag tea, and a port.Second, boil water.Third, put the loose tea or bag tea to your cup.Fourth, pour the water into the cup.And you can drink your tea.",,0,0,0
8,13,eg5,7509,"I organized the instructions by time, beacause to make tea people who want to make tea have to follow the instructions step by step. If they do the instructions randomly, they will not make tea.",,0,0,0
9,12,ad1,7510,"First, prepare a port, loose tea, and cup.Second, boil water in the port, and put loose tea in the cup.Third, pour water into the cup.Fourth, after waiting for a few minutes, drink the tea. Loose tea won't float on the surface of the tea, so you don't have to pick the loose tea up.",,0,0,0
10,13,ad1,7510,By time,,0,0,0
11,12,fv6,7511,"To make tea, nothing is easier, even if sometimes it could be dangerous. First, you need to have hot water. I let you choose the way that you make it. next, you need to buy a box of tea in wallmart or giant eagle. And finally you must use a beautiful cup to put the water and a small pack of tea in. You could also add sugar or/and milk. Don't forget to wait a few minutes before drinking, the tea could be too much warm.",,0,0,0
12,13,fv6,7511,i organize the instructions by time and importance.,,0,0,0
