course_id,class_id,level_id,semester,section,
1,1,2,2064,A,
2,1,3,2064,B,
3,1,4,2064,M,
4,1,4,2064,P,
5,1,4,2064,Q,
6,1,5,2064,S,
7,2,2,2064,A,
8,2,3,2064,B,
9,2,4,2064,M,
10,2,4,2064,P,
11,2,4,2064,Q,
12,2,5,2064,S,
13,3,2,2064,A,
14,3,3,2064,B,
15,3,4,2064,M,
16,3,4,2064,P,
17,3,4,2064,Q,
18,3,5,2064,S,
19,4,2,2064,A,
20,4,3,2064,B,
21,4,4,2064,M,
22,4,4,2064,P,
23,4,4,2064,Q,
24,4,5,2064,S,
25,5,2,2064,A,
26,5,3,2064,B,
27,5,4,2064,M,
28,5,4,2064,P,
29,5,4,2064,Q,
30,5,5,2064,S,
31,1,3,2064,C,
32,2,3,2064,C,
33,3,3,2064,C,
34,4,3,2064,C,
35,5,3,2064,C,
36,5,5,2064,T,
37,4,5,2064,T,
38,3,5,2064,T,
39,2,5,2064,T,
40,1,5,2064,T,
41,1,2,2067,A,
42,1,3,2067,F,
43,1,3,2067,G,
44,1,3,2067,H,
45,1,4,2067,M,
46,1,4,2067,P,
47,1,4,2067,Q,
48,1,4,2067,R,
49,1,5,2067,S,
50,1,5,2067,T,
51,1,5,2067,U,
52,2,2,2067,A,
53,2,3,2067,F,
54,2,3,2067,G,
55,2,3,2067,H,
56,2,4,2067,M,
57,2,4,2067,P,
58,2,4,2067,Q,
59,2,4,2067,R,
60,2,5,2067,S,
61,2,5,2067,T,
62,2,5,2067,U,
63,3,2,2067,A,
64,3,3,2067,F,
65,3,3,2067,G,
66,3,3,2067,H,
67,3,4,2067,M,
68,3,4,2067,P,
69,3,4,2067,Q,
70,3,4,2067,R,
71,3,5,2067,S,
72,3,5,2067,T,
73,3,5,2067,U,
74,4,2,2067,A,
75,4,3,2067,F,
76,4,3,2067,G,
77,4,3,2067,H,
78,4,4,2067,M,
79,4,4,2067,P,
80,4,4,2067,Q,
81,4,4,2067,R,
82,4,5,2067,S,
83,4,5,2067,T,
84,4,5,2067,U,
85,5,2,2067,A,
86,5,3,2067,F,
87,5,3,2067,G,
88,5,3,2067,H,
89,5,4,2067,M,
90,5,4,2067,P,
91,5,4,2067,Q,
92,5,4,2067,R,
93,5,5,2067,S,
94,5,5,2067,T,
95,5,5,2067,U,
96,1,2,2071,A,
97,1,2,2071,B,
98,1,3,2071,F,
99,1,3,2071,G,
100,1,3,2071,H,
101,1,4,2071,M,
102,1,4,2071,P,
103,1,4,2071,Q,
104,1,4,2071,R,
105,1,5,2071,S,
106,1,5,2071,T,
107,1,5,2071,U,
108,2,2,2071,A,
109,2,2,2071,B,
110,2,3,2071,F,
111,2,3,2071,G,
112,2,3,2071,H,
113,2,4,2071,M,
114,2,4,2071,P,
115,2,4,2071,Q,
116,2,4,2071,R,
117,2,5,2071,S,
118,2,5,2071,T,
119,2,5,2071,U,
120,3,2,2071,A,
121,3,2,2071,B,
