anon_id,gender,birth_year,native_language,language_used_at_home,language_used_at_home_now,non_native_language_1,yrs_of_study_lang1,study_in_classroom_lang1,ways_of_study_lang1,non_native_language_2,yrs_of_study_lang2,study_in_classroom_lang2,ways_of_study_lang2,non_native_language_3,yrs_of_study_lang3,study_in_classroom_lang3,ways_of_study_lang3,createddate,modifieddate,course_history
ez9,Male,1978,Arabic,Arabic,,English,more than 5 years,1,Studied grammar;Worked in pairs/groups;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Teacher corrected my mistakes;Wrote paragrphs/essays,Turkish,less than 1 year,0,Studied by myself,,,0,other,2006-01-30 15:07:18,2006-03-14 15:13:37,6;12;18;24;30
gm3,Male,1980,Arabic,Arabic,,English,more than 5 years,1,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English,,,0,other,,,0,other,2006-01-30 15:07:28,2006-03-14 15:12:49,6;12;24;30;38
fg5,Male,1938,Nepali,Nepali,,English,more than 5 years,1,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,French,less than 1 year,1,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in French;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,Hindi,more than 5 years,0,Studied by myself,2006-01-30 15:07:45,2006-03-14 15:11:36,18;24
ce5,Female,1984,Korean,Korean,,English,more than 5 years,1,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Teacher corrected my mistakes;Wrote paragrphs/essays,German,1-2 years,1,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronunciation,,,0,other,2006-01-30 15:07:49,2006-03-14 15:12:24,6;12;24;30;38;56
fi7,Female,1982,Korean,Korean;Japanese,,English,more than 5 years,1,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs),Japanese,less than 1 year,1,Studied grammar;Studied vocabulary;Listened to audio materials;Studied pronunciation,French,1-2 years,1,Studied grammar;Studied vocabulary;Listened to audio materials,2006-01-30 15:07:52,2006-03-14 15:12:17,6;12;24;30;38
ds7,Female,1985,Korean,Korean,,English,more than 5 years,1,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs),Japanese,less than 1 year,1,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs),,,0,other,2006-01-30 15:07:56,2006-03-14 15:12:13,6;12;18;24;30;56
fd5,Female,1977,Chinese,Chinese,,Russian,more than 5 years,1,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in Russian;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,English,3-5 years,1,Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,0,other,2006-01-30 15:07:56,2006-03-14 15:12:08,6;12;18;24;30
do6,Female,1974,Russian,Russian,,French,more than 5 years,1,Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in French;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes,,,0,other,,,0,other,2006-01-30 15:07:57,2006-03-14 15:09:33,5;11;18;24;29;105;117;153
ex1,Female,1972,Turkish,Turkish,,English,more than 5 years,0,Studied by myself,,,0,other,,,0,other,2006-01-30 15:07:58,2006-03-14 15:12:40,24;38
ac0,Female,1969,Chinese,Chinese,,French,1-2 years,1,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in French;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes,English,more than 5 years,1,Studied grammar;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,0,other,2006-01-30 15:08:00,2006-03-20 13:35:07,6;12;15;24;30;71;82
bd9,Male,1962,Korean,Korean,,English,more than 5 years,1,Studied grammar;Studied vocabulary;Practiced reading aloud,,,0,other,,,0,other,2006-01-30 15:08:03,2006-03-14 15:11:39,9;18;24
ar3,Female,1960,French,French,,English,more than 5 years,1,Studied grammar;Studied vocabulary;Teacher spoke to me in English;Studied pronunciation;Wrote paragrphs/essays,Spanish,less than 1 year,0,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Teacher spoke to me in german;Studied pronunciation,German,3-5 years,1,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Teacher spoke to me in german,2006-01-30 15:08:03,2006-03-14 15:12:10,24;30;38
cz5,Female,1980,Russian,Russian,,English,more than 5 years,1,Studied grammar;Studied vocabulary;Practiced speaking in class;Practiced reading aloud;Teacher corrected my mistakes,,,0,other,,,0,other,2006-01-30 15:08:05,2006-03-16 15:05:49,6;12;16;24;30
bv3,Male,1967,Other,Russian;Ukranian,,English,3-5 years,0,Studied by myself;I lived in a country where they spoke English,Russian,more than 5 years,1,other,French,3-5 years,1,other,2006-01-31 09:02:34,2006-03-16 09:06:20,9;15;27
gi3,Male,1982,Japanese,Japanese;Chinese,,English,more than 5 years,1,Studied grammar;Studied vocabulary;Teacher corrected my mistakes,Chinese,1-2 years,1,Studied grammar;Studied vocabulary;Teacher corrected my mistakes,,,0,other,2006-01-31 09:03:04,2006-03-16 09:05:10,3;9;15;21;27;49;60;71;82;93
gs1,Female,1981,Arabic,Arabic,Arabic,English,more than 5 years,1,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,0,other,,,0,other,2006-01-31 09:03:06,2006-05-25 10:11:37,3;9;15;21;27;49;61;72;82;94
bv5,Male,1985,Arabic,Arabic,Arabic;English,English,more than 5 years,1,Studied grammar;Worked in pairs/groups;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Practiced reading aloud;Teacher corrected my mistakes,,,0,other,,,0,other,2006-01-31 09:03:15,2006-05-26 10:04:41,3;9;15;21;27;49;57;71;82;93;117
cf4,Female,1987,Arabic,Arabic,Arabic,English,3-5 years,1,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Teacher spoke to me in English;Practiced reading aloud;Teacher corrected my mistakes,,,0,other,,,0,other,2006-01-31 09:03:27,2006-05-25 10:12:13,3;9;15;21;27;49;61;72;82;94
dr6,Female,1987,Spanish,Spanish;French,,English,more than 5 years,1,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Teacher spoke to me in English;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,French,1-2 years,0,Studied by myself;I learned from my friend who is a native speaker;I lived in a country where they spoke French,,,0,other,2006-01-31 09:03:30,2006-03-16 09:06:02,3;9;15;21;27
av3,Male,1981,Arabic,Arabic,English,English,more than 5 years,1,Studied grammar;Studied vocabulary;Studied pronunciation;Practiced reading aloud,,,0,other,,,0,other,2006-01-31 09:03:32,2006-05-25 10:13:04,3;9;15;21;27;49;61;72;82;94
ev2,Female,1956,Turkish,Turkish,,English,less than 1 year,1,Had a native-speaker teacher;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Teacher corrected my mistakes;Wrote paragrphs/essays,,,0,other,,,0,other,2006-01-31 09:03:34,2006-03-16 09:05:15,10;15;21
ch3,Female,1975,Chinese,Chinese,,English,more than 5 years,1,Studied grammar;Studied vocabulary;Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Wrote paragrphs/essays,,,0,other,,,0,other,2006-01-31 09:03:36,2006-03-16 09:05:14,15;21;58
fw0,Female,1970,Chinese,Chinese,,English,3-5 years,1,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Teacher spoke to me in English;Studied pronunciation;Teacher corrected my mistakes,,,0,other,,,0,other,2006-01-31 09:03:43,2006-03-16 09:04:34,3;15;22;29
dk2,Male,1964,Turkish,Turkish,Turkish,English,3-5 years,1,Studied grammar;Studied vocabulary;Studied pronunciation;Teacher corrected my mistakes,,,0,other,,,0,other,2006-01-31 09:03:46,2006-05-26 10:05:13,11;15;21;71;89
cr2,Female,1981,Arabic,Arabic,Arabic,English,3-5 years,0,Studied by myself;I learned from my friend who is a native speaker,,,0,other,,,0,other,2006-01-31 14:06:12,2006-05-25 10:11:04,5;11;17;23;29;49;61;72;82;94
ax4,Male,1978,Chinese,Chinese;Taiwanese,Chinese;Taiwanese,English,3-5 years,1,Studied grammar;Studied vocabulary,,,0,other,,,0,other,2006-01-31 14:06:24,2006-09-11 15:12:42,5;11;17;23;29;94;105;117;129
gp5,Female,1987,Chinese,Chinese;Taiwanese,Chinese;Taiwanese,English,1-2 years,1,Studied grammar;Studied vocabulary;Practiced speaking in class;Practiced reading aloud;Wrote paragrphs/essays,,,0,other,,,0,other,2006-01-31 14:06:24,2006-05-26 10:07:46,5;11;17;23;29;71;82
cm6,Female,1983,Chinese,Chinese,,English,1-2 years,1,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,0,other,,,0,other,2006-01-31 14:06:24,2006-03-16 14:08:33,5;11;17;23;29
dq6,Male,1978,Arabic,Arabic,,English,more than 5 years,0,Studied by myself,,,0,other,,,0,other,2006-01-31 14:06:25,2006-03-14 15:11:53,5;11;18;22;29;49;60;82;93
at5,Male,1981,Arabic,Arabic,,English,3-5 years,1,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Teacher corrected my mistakes;Wrote paragrphs/essays,,,0,other,,,0,other,2006-01-31 14:06:30,2006-03-16 14:08:46,5;8;17;23;29
fz7,Female,1981,Arabic,Arabic,Arabic;English,English,3-5 years,0,Studied by myself;I learned from my friend who is a native speaker;I lived in a country where they spoke English,,none,0,other,,,0,other,2006-01-31 14:06:36,2006-09-11 13:09:53,5;11;17;23;29;106;118;130;154
cm5,Male,1979,Arabic,Arabic,,English,3-5 years,1,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in English;Teacher corrected my mistakes;Wrote paragrphs/essays,,,0,other,,,0,other,2006-01-31 14:08:53,2006-03-16 14:09:30,5;11;17;23;29
fc0,Male,1986,Arabic,Arabic,Arabic;English,English,more than 5 years,1,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,0,other,,,0,other,2006-01-31 14:09:10,2006-09-11 15:12:19,2;8;17;23;26;47;58;71;78;91;102;118;129;149
fg8,Female,1978,Chinese,Chinese;Taiwanese,Chinese;Taiwanese,English,more than 5 years,1,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,0,other,,,0,other,2006-01-31 15:05:51,2008-01-29 15:02:46,4;10;16;22;28;49;93;117;129;338;349;350;351;352
fq4,Female,1980,Korean,Korean,,English,3-5 years,1,Studied grammar;Worked in pairs/groups;Practiced speaking in class;Studied pronunciation,,,0,other,,,0,other,2006-01-31 15:05:52,2006-04-03 14:56:46,3;9;16;21;27
ev8,Female,1982,Korean,Korean,,English,more than 5 years,1,Studied grammar;Studied vocabulary,Japanese,1-2 years,1,Studied grammar;Studied vocabulary,,,0,other,2006-01-31 15:05:52,2006-03-16 15:06:34,3;9;16;21;27;49;82
fx9,Female,1968,Japanese,Japanese,Japanese,English,more than 5 years,1,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced reading aloud,,,0,other,,,0,other,2006-01-31 15:05:52,2006-09-11 15:12:09,4;10;16;22;26;49;57;71;82;90;105;117;129;153;164;175;186;208
aj8,Male,1978,Chinese,Chinese;Taiwanese,Chinese;Taiwanese,English,more than 5 years,1,Studied grammar;Studied vocabulary;Practiced reading aloud;Wrote paragrphs/essays,,,0,other,,,0,other,2006-01-31 15:05:53,2006-09-11 13:09:48,6;10;16;24;28;93;118;130
gg8,Female,1976,Japanese,Japanese;English,Japanese;English,English,more than 5 years,1,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Wrote paragrphs/essays,,,0,other,,,0,other,2006-01-31 15:05:55,2006-05-25 10:12:18,4;10;16;22;28;49;61;72;82;94
ch6,Male,1982,Korean,Korean,,English,more than 5 years,1,Studied grammar;Had a native-speaker teacher;Studied vocabulary,German,1-2 years,0,other,,,0,other,2006-01-31 15:05:55,2006-03-16 15:06:56,4;11;16;22;28
fx5,Female,1979,Japanese,Korean,,English,more than 5 years,1,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Practiced reading aloud,French,1-2 years,1,Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in French;Studied pronunciation;Teacher corrected my mistakes,,,0,other,2006-01-31 15:05:59,2006-03-16 15:06:51,4;10;16;22;28
