anon_id,gender,birth_year,native_language,language_used_at_home,language_used_at_home_now,non_native_language_1,yrs_of_study_lang1,study_in_classroom_lang1,ways_of_study_lang1,non_native_language_2,yrs_of_study_lang2,study_in_classroom_lang2,ways_of_study_lang2,non_native_language_3,yrs_of_study_lang3,study_in_classroom_lang3,ways_of_study_lang3,createddate,modifieddate,is_deleted,course_history
aa0,'Male',1984,'Spanish','Spanish','English Spanish','English','less than 1 year',1,'Studied grammar;Worked in pairs/groups;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronuciation;Teacher corrected my mistakes','','',0,'','','',0,'','2010-02-15 11:05:51','2010-02-15 11:08:10',0,641;642;643;644;645
aa1,'Male',1983,'Chinese','Chinese','Chinese','English','more than 5 years',1,'Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Practiced reading aloud;Wrote paragrphs/essays','','',0,'','','',0,'','2009-02-16 15:07:52','2009-06-05 12:05:04',0,462;463;475;476;494;516;523;524;525;527
aa2,'Male',1967,'Arabic','Arabic Arabic','Arabic Arabic','Arabic','more than 5 years',1,'Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in Arabic;Practiced reading aloud;Teacher corrected my mistakes','English','less than 1 year',1,'Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Studied pronuciation','Non','less than 1 year',1,'Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary','2009-02-16 14:40:43','2009-06-04 11:15:29',0,415;416;417;418;419;465;466;467;468;469;528;529;530;531;532
aa7,null,ull,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,'2013-07-12 16:25:34',null,0,1074;1075;1076;1077;1078
aa8,'Female',1976,'Korean','Korean','Korean','English','more than 5 years',0,'Studied by myself','French','1-2 years',1,'Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronuciation','','',0,'','2007-06-04 14:03:52','2007-09-17 09:12:55',0,217;230;241;252;261;277;288;299;321
aa9,'Male',1987,'Korean','Korean Chinese','English Korean chinese','English','more than 5 years',1,'Studied grammar;Studied vocabulary;Teacher spoke to me in English;Studied pronuciation;Teacher corrected my mistakes','Chinese','more than 5 years',1,'Studied grammar;Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in Chinese;Studied pronuciation','','',0,'','2006-10-24 15:03:24','2007-06-05 13:07:09',0,96;108;120;144;158;169;180;202;213;227;238;249;260
ab0,'Female',1982,'Chinese','Chinese','Chinese','English','3-5 years',1,'Practiced reading aloud;Wrote paragrphs/essays','','',0,'','','',0,'','2006-07-11 13:38:20','2006-07-11 13:40:48',0,45;56;89
ab3,'Female',1989,'Spanish','Spanish','English','English','less than 1 year',1,'Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronuciation;Practiced reading aloud;Teacher corrected my mistakes','','',0,'','','',0,'','2006-05-23 09:10:56','2006-06-15 09:09:04',0,43;54;65;76;87;115;127;151
ab4,'Female',1968,'Korean','Korean Korean','Korean English','English','more than 5 years',1,'Studied grammar;Studied vocabulary;Teacher spoke to me in English;Studied pronuciation','','',0,'','','',0,'','2007-02-16 11:35:02','2007-04-10 14:55:27',0,161;183
ab8,'Male',1985,'Arabic','Arabic English','Arabic English','English','1-2 years',1,'Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in English;Studied pronuciation;Practiced reading aloud;Teacher corrected my mistakes;and we have funny and education.','','',0,'','','',0,'','2010-11-23 12:18:28','2010-11-23 12:24:53',0,657;658;659;660;666;724;725;726;727;728;803;816;842;857;889
ac0,'Female',1969,'Chinese','Chinese',null,'French','1-2 years',1,'Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in French;Studied pronuciation;Practiced reading aloud;Teacher corrected my mistakes','English','more than 5 years',1,'Studied grammar;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronuciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays','','',0,'','2006-01-30 15:08:00','2006-03-20 13:35:07',0,6;12;15;24;30;71;82
